endTime,artistName,trackName,msPlayed
2021-12-06 11:10,Boyd Kosiyabong,คนข้างล่าง,850
2021-12-06 11:10,James Morrison,Undiscovered,910
2021-12-06 11:10,Aqualung,Brighter Than Sunshine,7140
2021-12-06 11:10,Louis The Child,Better Not - Acoustic,1270
2021-12-06 11:10,OneRepublic,Apologize,1050
2021-12-06 11:10,Stamp,ร้อยล้านวิว (Million views),830
2021-12-06 11:10,lightcraft,Home,1120
2021-12-06 11:13,Stamp,ภูเขาบังเส้นผม (Hide you) feat. TWOPEE,219500
2021-12-06 11:14,The Wldlfe,I Don't Mind,14220
2021-12-06 11:18,Hinder,Lips Of An Angel,900
2021-12-06 11:18,Faith Hill,This Kiss,1320
2021-12-06 11:18,NONT TANONT,พิง - เพลงประกอบละคร กระเช้าสีดา,237330
2021-12-06 11:32,Faith Hill,This Kiss,1020
2021-12-06 11:32,JETSET'ER,เธอเก่ง,117880
2021-12-06 11:40,NONT TANONT,พิง - เพลงประกอบละคร กระเช้าสีดา,1230
2021-12-06 11:44,NONT TANONT,พิง - เพลงประกอบละคร กระเช้าสีดา,242727
2021-12-06 11:44,Lost Kings,When We Were Young,252
2021-12-06 11:47,Chelsea Cutler,Without You,168680
2021-12-06 11:49,Loote,Songs About Girls,156420
2021-12-06 11:50,Mokita,London,3880
2021-12-06 11:50,Third Eye Blind,Horror Show,3170
2021-12-06 11:50,Haux,Ricochet,2220
2021-12-06 11:50,Craig David,Don't Love You No More (I'm Sorry),540
2021-12-06 11:50,Green Day,When I Come Around,940
2021-12-06 11:50,Tattoo Colour,ขาหมู,5680
2021-12-06 11:50,The Brummies,Takes Some Time,1550
2021-12-06 11:50,Maroon 5,Denim Jacket,1150
2021-12-06 11:50,Snow Patrol,Chasing Cars,3430
2021-12-06 11:50,The Well Pennies,Ooh La La,1360
2021-12-06 11:50,Robyn,Show Me Love - Radio Version,800
2021-12-06 11:50,Pause,แค่ได้เป็นคนสุดท้ายที่เธอคิดถึง,720
2021-12-06 11:50,Khalid,Suncity (feat. Empress Of),25650
2021-12-06 11:50,The Spacies,Round & Round - Pilton Remix,3040
2021-12-06 11:50,Shaimus,Let Go,630
2021-12-06 11:50,Maroon 5,Won't Go Home Without You,2190
2021-12-06 11:51,Yoste,Arc,960
